Loading EasyOCR; transcript_count=26
OCR 7653813315168259334 310/310
DONE 5/26 7653813315168259334
OCR 7654183060182682890 8/327
OCR 7654183060182682890 16/327
OCR 7654183060182682890 24/327
OCR 7654183060182682890 32/327
OCR 7654183060182682890 40/327
OCR 7654183060182682890 48/327
OCR 7654183060182682890 56/327
OCR 7654183060182682890 64/327
OCR 7654183060182682890 72/327
OCR 7654183060182682890 80/327
OCR 7654183060182682890 88/327
OCR 7654183060182682890 96/327
OCR 7654183060182682890 104/327
OCR 7654183060182682890 112/327
OCR 7654183060182682890 120/327
OCR 7654183060182682890 128/327
OCR 7654183060182682890 136/327
OCR 7654183060182682890 144/327
OCR 7654183060182682890 152/327
OCR 7654183060182682890 160/327
OCR 7654183060182682890 168/327
OCR 7654183060182682890 176/327
OCR 7654183060182682890 184/327
OCR 7654183060182682890 192/327
OCR 7654183060182682890 200/327
OCR 7654183060182682890 208/327
OCR 7654183060182682890 216/327
OCR 7654183060182682890 224/327
OCR 7654183060182682890 232/327
OCR 7654183060182682890 240/327
OCR 7654183060182682890 248/327
OCR 7654183060182682890 256/327
OCR 7654183060182682890 264/327
OCR 7654183060182682890 272/327
OCR 7654183060182682890 280/327
OCR 7654183060182682890 288/327
OCR 7654183060182682890 296/327
OCR 7654183060182682890 304/327
OCR 7654183060182682890 312/327
OCR 7654183060182682890 320/327
OCR 7654183060182682890 327/327
DONE 6/26 7654183060182682890
OCR 7654536155693649202 8/182
